Movie_Id,Movie_Title,Genres,Genres_id,language,popularity,release_date,runtime,status,vote_average,vote_count
191229,Iguana,No genres,0,English,0.214704,01/04/1988,88,Released,6,1
346081,Sardaarji,No genres,0,English,0.296981,26/06/2015,0,Released,9.5,2
371085,Sharkskin,No genres,0,English,0.027801,01/01/2015,0,Released,0,0
48382,"The Book of Mormon Movie, Volume 1: The Journey",No genres,0,English,0.031947,12/09/2003,120,Released,5,2
325140,Hum To Mohabbat Karega,No genres,0,English,0.001186,26/05/2000,0,Released,0,0
357834,The Algerian,No genres,0,English,0.025364,07/08/2015,99,Released,0,0
137955,Crowsnest,No genres,0,English,0.057564,01/01/2012,84,Released,4.8,12
206412,Lisa Picard Is Famous,No genres,0,English,0.690089,14/05/2000,90,Released,4,1
219716,Sparkler,No genres,0,English,0.547654,19/03/1999,96,Released,0,1
335874,Childless,No genres,0,English,0.243853,03/04/2015,90,Released,4.5,2
279759,Harrison Montgomery,No genres,0,English,0.006943,01/01/2008,0,Released,0,0
331493,Light from the Darkroom,No genres,0,English,0.012942,01/01/2014,0,Released,0,0
294550,The Outrageous Sophie Tucker,No genres,0,English,0.021419,02/05/2014,96,Released,0,0
380097,America Is Still the Place,No genres,0,English,0,,0,Released,0,0
297100,The Little Ponderosa Zoo,No genres,0,English,0.073079,11/09/2014,84,Released,2,1
325579,Diamond Ruff,No genres,0,English,0.165257,01/01/2015,0,Released,2.4,4
198370,Mutual Friends,No genres,0,English,0.136721,15/04/2014,0,Released,0,0
328307,Rise of the Entrepreneur: The Search for a Better Way,No genres,0,English,0.052942,20/11/2014,0,Released,8,1
281189,Gory Gory Hallelujah,No genres,0,English,0.033883,05/11/2003,0,Released,1,1
162396,The Big Swap,No genres,0,English,0.627763,11/06/1998,0,Released,0,0
365052,The Looking Glass,No genres,0,English,0.062979,23/10/2015,110,Released,7,1
300327,Death Calls,No genres,0,English,0.005883,01/09/2010,0,Released,0,0
320435,UnDivided,No genres,0,English,0.010607,01/02/2013,0,Released,0,0
194588,Short Cut to Nirvana: Kumbh Mela,No genres,0,English,0.004998,11/05/2004,85,Released,0,0
176074,Reality Show,No genres,0,English,0.472123,01/01/2015,92,Released,5.5,2
282128,An American in Hollywood,No genres,0,English,0.015697,18/07/2014,89,Released,0,0
38786,The Blood of My Brother: A Story of Death in Iraq,No genres,0,English,0.005256,25/11/2005,90,Released,0,0
126186,Shanghai Calling,No genres,0,English,0.857008,03/05/2012,98,Released,5.7,7
27686,State Fair,"Music,Romance",1,English,1.847822,29/08/1945,96,Released,6.2,19
35032,The Pirate,"Music,Romance",1,English,0.90522,11/06/1948,102,Released,6.6,17
17820,Show Boat,"Music,Romance",1,English,1.606314,13/07/1951,107,Released,6.9,18
3989,Team America: World Police,"Music,Adventure,Animation,Action,Comedy",2,English,26.509175,10/10/2004,98,Released,6.6,660
9762,Step Up,"Music,Drama,Romance,Crime",3,English,45.477802,11/08/2006,104,Released,6.7,1060
85446,Step Up Revolution,"Music,Drama,Romance",4,English,29.775441,26/07/2012,99,Released,6.7,663
8328,Step Up 2: The Streets,"Music,Drama,Romance",4,English,28.973074,14/02/2008,98,Released,6.5,640
14024,Raise Your Voice,"Music,Drama,Romance",4,English,10.9071,10/08/2004,103,Released,6,211
10269,Yentl,"Music,Drama,Romance",4,English,3.389249,18/11/1983,132,Released,6.2,51
2054,Mr. Holland's Opus,"Music,Drama,Family",5,English,6.775294,29/12/1995,137,Released,6.9,113
12508,Rock Star,"Music,Drama,Comedy",6,English,11.60815,04/09/2001,105,Released,6,190
244403,Rudderless,"Music,Drama,Comedy",6,English,10.619574,17/10/2014,105,Released,7.4,105
2148,"The,Cotton,Club","Music,Drama,Crime,Romance",7,English,8.59075,14/12/1984,127,Released,6.6,68
209451,Jersey Boys,"Music,Drama",8,English,14.199933,05/06/2014,134,Released,6.8,255
109417,Battle of the Year,"Music,Drama",8,English,8.237336,21/09/2013,110,Released,5.9,88
3682,54,"Music,Drama",8,English,11.880899,28/08/1998,106,Released,5.5,135
66767,Beat the World,"Music,Drama",8,English,2.873796,10/06/2011,91,Released,4.3,16
40920,The Business of Fancydancing,"Music,Drama",8,English,0.06104,14/01/2002,103,Released,8,2
285743,Alleluia! The Devil's Carnival,"Music,Horror",9,English,0.674398,29/03/2016,0,Released,6,2
9716,Everyone Says I Love You,"Music,Comedy,Romance",10,English,12.379781,06/12/1996,101,Released,6.5,147
3062,42nd Street,"Music,Comedy,Romance",10,English,1.933366,02/02/1933,89,Released,6.1,37
28665,Fame,"Music,Comedy,Drama,Romance",11,English,7.668063,01/01/2009,107,Released,5.5,135
26320,Taking Woodstock,"Music,Comedy,Drama",12,English,11.870161,03/09/2009,120,Released,6.2,127
361398,Theresa Is a Mother,"Music,Comedy,Drama",12,English,0.036532,25/09/2015,105,Released,0,0
525,The Blues Brothers,"Music,Comedy,Action,Crime",13,English,44.714264,17/06/1980,133,Released,7.5,1065
8872,Wayne's World,"Music,Comedy",14,English,21.815122,14/02/1992,94,Released,6.5,728
16448,Waiting for Guffman,"Music,Comedy",14,English,4.348416,31/01/1996,84,Released,7.3,63
13576,This Is It,"Music,Documentary",15,English,15.798622,28/10/2009,111,Released,6.7,247
37003,U2 3D,"Music,Documentary",15,English,0.335195,19/05/2007,85,Released,6.7,10
324322,They Will Have to Kill Us First,"Music,Documentary",15,French,0.071349,13/10/2015,105,Released,5,1
21525,Tupac: Resurrection,"Music,Documentary",15,English,1.314576,23/01/2003,112,Released,8,26
12763,Take the Lead,Music,16,English,8.999675,17/03/2006,108,Released,6.6,162
193613,Metallica: Through the Never,Music,16,English,7.871686,25/09/2013,93,Released,6.7,83
60463,Sunday School Musical,Music,16,English,0.46049,21/10/2008,93,Released,5.5,4
10028,Honey,"Romance,Music,Family",17,English,18.492655,24/11/2003,94,Released,6,303
10198,The Princess and the Frog,"Romance,Family,Animation,Music",18,English,62.479574,08/12/2009,97,Released,6.7,1247
5689,The Blue Lagoon,"Romance,Adventure,Drama",19,English,22.585384,05/07/1980,104,Released,5.8,408
251979,The Perfect Wave,"Romance,Adventure,Drama",19,English,4.118612,28/02/2014,113,Released,4.4,21
38543,Ironclad,"Romance,Adventure,Action,History",20,English,12.31708,03/03/2011,121,Released,6.2,227
150689,Cinderella,"Romance,Fantasy,Family,Drama",21,English,101.187052,12/03/2015,105,Released,6.7,2374
3933,Corpse Bride,"Romance,Fantasy,Animation,Music",22,English,43.571612,09/09/2005,77,Released,7.2,1894
137,Groundhog Day,"Romance,Fantasy,Drama,Comedy",23,English,52.744331,11/02/1993,101,Released,7.4,2301
228326,The Book of Life,"Romance,Animation,Adventure,Comedy,Family,Fantasy",24,English,34.890999,01/10/2014,95,Released,7.3,755
14624,The Ultimate Gift,"Romance,Drama,Family",25,English,4.976268,20/10/2006,114,Released,6.8,78
21311,I Dreamed of Africa,"Romance,Drama,Adventure",26,English,1.656695,05/05/2000,114,Released,5.3,18
464,As It Is in Heaven,"Romance,Drama,Comedy,Music",27,Swedish,4.321249,03/09/2004,132,Released,6.9,42
1909,Don Juan DeMarco,"Romance,Drama,Comedy",28,English,8.870614,01/10/1994,97,Released,6.2,183
21494,Moliere,"Romance,Drama,Comedy",28,French,4.61335,31/01/2007,115,Released,6.7,45
987,The Front Page,"Romance,Drama,Comedy",28,English,4.117968,01/12/1974,105,Released,6.9,68
1378,Shortbus,"Romance,Drama,Comedy",28,English,14.846001,20/05/2006,101,Released,6.3,140
11240,My Beautiful Laundrette,"Romance,Drama,Comedy",28,English,3.703005,07/09/1985,97,Released,6.6,51
53256,Three,"Romance,Drama,Comedy",28,German,5.937602,23/12/2010,119,Released,6.3,31
11661,Joyeux Noel,"Romance,Drama,History,War,Music",29,French,13.960945,09/11/2005,116,Released,7.2,212
921,Cinderella Man,"Romance,Drama,History",30,English,24.100863,02/06/2005,144,Released,7.3,616
43539,The Next Three Days,"Romance,Drama,Thriller,Crime",31,English,34.421696,18/11/2010,133,Released,6.9,905
46727,Speedway Junky,"Romance,Drama,Crime",32,English,0.340019,11/02/1999,104,Released,5.2,7
1844,Entrapment,"Romance,Drama,Mystery",33,English,25.877794,29/04/1999,112,Released,6,602
2044,The Lake House,"Romance,Drama,Mystery",33,English,29.88736,16/06/2006,99,Released,6.5,670
161795,Deja vu,"Romance,Drama",34,English,0.605645,22/04/1998,117,Released,8,1
24803,Julie & Julia,"Romance,Drama",34,English,22.853006,06/08/2009,123,Released,6.6,560
8842,Against the Ropes,"Romance,Drama",34,English,2.817364,20/02/2004,106,Released,4.5,32
11036,The Notebook,"Romance,Drama",34,English,55.109138,25/06/2004,123,Released,7.7,3067
10207,Message in a Bottle,"Romance,Drama",34,English,10.81051,22/02/1999,131,Released,5.8,196
215211,Grace of Monaco,"Romance,Drama",34,English,10.958697,14/05/2014,103,Released,5.8,195
45881,The Bridge of San Luis Rey,"Romance,Drama",34,English,0.515677,01/01/2004,120,Released,5.4,15
31005,Moonlight Mile,"Romance,Drama",34,English,8.982335,09/09/2002,117,Released,6.5,52
1440,"Little,Children","Romance,Drama",34,English,11.942862,06/10/2006,136,Released,6.9,240
43949,Flipped,"Romance,Drama",34,English,24.210698,06/08/2010,89,Released,7.4,418
48217,The Widow of Saint-Pierre,"Romance,Drama",34,English,1.780065,01/01/2000,112,Released,6.7,11
222935,The Fault in Our Stars,"Romance,Drama",34,English,74.358971,16/05/2014,125,Released,7.6,3759
1587,What's Eating Gilbert Grape,"Romance,Drama",34,English,33.282794,17/12/1993,118,Released,7.5,919
241771,Beyond the Lights,"Romance,Drama",34,English,8.079046,10/09/2014,116,Released,7,139
306745,Freeheld,"Romance,Drama",34,English,8.184588,02/10/2015,103,Released,7.1,164
18923,A Home at the End of the World,"Romance,Drama",34,English,5.483531,23/07/2004,96,Released,6.8,45
108346,Dreaming of Joseph Lees,"Romance,Drama",34,English,0.11615,29/10/1999,92,Released,8,1
132344,Before Midnight,"Romance,Drama",34,English,23.299907,05/04/2013,108,Released,7.4,568
258755,Hidden Away,"Romance,Drama",34,Spanish,1.233688,03/10/2014,96,Released,7.6,26
172533,Drinking Buddies,"Romance,Drama",34,English,17.378455,23/08/2013,90,Released,6,356
77332,Urbania,"Romance,Drama",34,English,0.065155,24/01/2000,103,Released,5.2,10
58431,Pride and Prejudice and Zombies,"Romance,Horror,Comedy,Thriller",35,English,28.397048,04/02/2016,108,Released,5.5,640
6114,Dracula,"Romance,Horror",36,English,45.022964,13/11/1992,128,Released,7.1,1056
9588,Quigley Down Under,"Romance,Action,Adventure,Western,Drama",37,English,11.360997,17/10/1990,119,Released,6.5,119
380733,Fight to the Finish,"Romance,Action",38,English,0.251828,02/02/2016,94,Released,5.2,3
297621,There's Always Woodstock,"Romance,Comedy,Music",39,English,2.025701,14/11/2014,90,Released,5.4,12
173224,Along the Roadside,"Romance,Comedy,Music",39,English,0.166655,28/02/2013,118,Released,7.7,3
9981,Kicking & Screaming,"Romance,Comedy,Family",40,English,8.99269,13/05/2005,95,Released,5.6,176
302688,My Big Fat Greek Wedding 2,"Romance,Comedy,Family",40,English,16.027955,23/03/2016,94,Released,5.5,322
8676,Fool's Gold,"Romance,Comedy,Adventure",41,English,21.789615,07/02/2008,112,Released,5.4,444
10288,Fido,"Romance,Comedy,Drama,Horror",42,English,5.244518,07/09/2006,91,Released,6.6,135
509,Notting Hill,"Romance,Comedy,Drama",43,English,28.969151,13/05/1999,124,Released,7,1262
76494,What to Expect When You're Expecting,"Romance,Comedy,Drama",43,English,27.009723,17/05/2012,110,Released,5.8,594
2621,Return to Me,"Romance,Comedy,Drama",43,English,5.771479,07/04/2000,115,Released,6.1,67
13067,In the Land of Women,"Romance,Comedy,Drama",43,English,12.792446,16/04/2007,97,Released,5.8,160
14578,Outside Providence,"Romance,Comedy,Drama",43,English,2.627232,16/08/1999,96,Released,5.6,30
183894,Emma,"Romance,Comedy,Drama",43,English,2.135689,11/10/2009,240,Released,7.6,38
138697,Don Jon,"Romance,Comedy,Drama",43,English,33.296684,26/07/2013,90,Released,5.9,1671
66942,Griff the Invisible,"Romance,Comedy,Drama",43,English,1.35088,19/08/2011,93,Released,6.1,34
361505,Me You and Five Bucks,"Romance,Comedy,Drama",43,English,0.094105,07/07/2015,90,Released,10,2
324352,Anderson's Cross,"Romance,Comedy,Drama",43,English,0.006323,20/05/2010,98,Released,0,0
47607,Tiny Furniture,"Romance,Comedy,Drama",43,English,2.380332,12/11/2010,99,Released,5.6,59
854,The Mask,"Romance,Comedy,Crime,Fantasy",44,English,85.30318,29/07/1994,101,Released,6.6,2472
256591,Focus,"Romance,Comedy,Crime,Drama",45,English,59.634029,25/02/2015,105,Released,6.7,2542
9464,Buffalo '66,"Romance,Comedy,Crime,Drama",45,English,10.009994,20/01/1998,110,Released,7.1,166
16558,Duplicity,"Romance,Comedy,Crime",46,English,13.630049,19/03/2009,125,Released,5.7,201
1389,Out of Sight,"Romance,Comedy,Crime",46,English,16.000178,26/06/1998,123,Released,6.5,333
50546,Just Go with It,"Romance,Comedy",47,English,37.02665,10/02/2011,117,Released,6.3,1543
2642,Two Weeks Notice,"Romance,Comedy",47,English,24.153567,19/12/2002,101,Released,5.9,487
9767,The Break-Up,"Romance,Comedy",47,English,26.251217,01/06/2006,106,Released,5.6,832
4379,Monster-in-Law,"Romance,Comedy",47,English,10.411996,13/05/2005,101,Released,5.6,406
11812,The Sweetest Thing,"Romance,Comedy",47,English,18.65632,12/04/2002,84,Released,5.3,280
50544,Friends with Benefits,"Romance,Comedy",47,English,40.526587,21/07/2011,109,Released,6.5,2237
316002,Accidental Love,"Romance,Comedy",47,English,5.644844,10/02/2015,100,Released,3.9,95
12620,The House Bunny,"Romance,Comedy",47,English,25.838073,22/08/2008,97,Released,5.6,529
70868,I Don't Know How She Does It,"Romance,Comedy",47,English,8.630825,16/09/2011,89,Released,5,141
544,There's Something About Mary,"Romance,Comedy",47,English,57.110486,15/07/1998,119,Released,6.5,1590
81836,To Rome with Love,"Romance,Comedy",47,English,15.013386,20/04/2012,111,Released,5.6,546
13596,My Best Friend's Girl,"Romance,Comedy",47,English,17.145287,19/09/2008,101,Released,5.4,220
25195,Leap Year,"Romance,Comedy",47,English,21.959742,08/01/2010,100,Released,6.4,465
12657,Soul Plane,"Romance,Comedy",47,English,9.400404,28/05/2004,86,Released,4.7,108
114,Pretty Woman,"Romance,Comedy",47,English,45.473484,23/03/1990,119,Released,7,1746
272693,The DUFF,"Romance,Comedy",47,English,40.28709,20/02/2015,100,Released,6.8,1322
2293,Mallrats,"Romance,Comedy",47,English,16.139771,20/10/1995,94,Released,6.8,392
351819,Fifty Shades of Black,"Romance,Comedy",47,English,14.947588,28/01/2016,92,Released,4.3,331
340816,Christmas Eve,"Romance,Comedy",47,English,1.985243,04/12/2015,95,Released,6.1,24
111794,20 Dates,"Romance,Comedy",47,English,0.408073,01/01/1998,87,Released,3.7,3
1934,Shakespeare in Love,"Romance,History",48,English,31.792964,11/12/1998,122,Released,6.8,796
8879,Pale Rider,"Romance,Western",49,English,14.574995,28/06/1985,115,Released,7,251
223485,Slow West,"Romance,Thriller,Western",50,English,14.936661,16/04/2015,84,Released,6.6,367
71547,Fascination,"Romance,Thriller",51,German,0.219799,13/10/2004,95,Released,3.8,4
11386,"The,Crying Game","Romance,Crime,Drama,Thriller",52,English,8.839651,02/09/1992,112,Released,6.9,176
11027,The Postman Always Rings Twice,"Romance,Crime,Drama",53,English,6.803763,20/03/1981,122,Released,6.4,110
125052,Hurricane Streets,"Romance,Crime,Drama",53,English,0.36447,21/01/1997,86,Released,4.8,4
152601,Her,"Romance,Science Fiction,Drama",54,English,53.682367,18/12/2013,126,Released,7.9,4097
10017,The Wraith,"Romance,Science Fiction,Horror,Action,Crime",55,English,10.47644,21/11/1986,93,Released,5.9,108
59457,Womb,"Romance,Science Fiction",56,English,7.453347,15/07/2010,111,Released,5.9,92
112949,Safe Haven,Romance,57,English,37.729059,07/02/2013,115,Released,6.9,823
13539,Here On Earth,Romance, ,English,3.313257,23/03/2000,96,Released,5.4,48
185008,Yeh Jawaani Hai Deewani,Romance,57,Hindi,3.353176,31/05/2013,159,Released,7.2,79
621,Grease,Romance,57,English,67.608041,07/07/1978,110,Released,7.2,1581
74084,Dil Jo Bhi Kahey...,Romance,57,Hindi,0.122704,07/12/2006,0,Released,0,0
10996,Stuart Little 2,"Family,Adventure,Animation,Comedy",58,English,27.990284,19/07/2002,78,Released,5.4,613
25353,The True Story of Puss 'n Boots,"Family,Adventure,Animation",59,French,1.684948,01/04/2009,82,Released,3.8,7
278927,The Jungle Book,"Family,Adventure,Drama,Fantasy",60,English,94.199316,07/04/2016,106,Released,6.7,2892
2661,Batman,"Family,Adventure,Comedy,Science Fiction,Crime",61,English,9.815394,30/07/1966,105,Released,6.1,203
238603,Earth to Echo,"Family,Adventure,Science Fiction",62,English,17.371327,14/06/2014,89,Released,5.7,290
73191,The Nutcracker,"Family,Fantasy,Music",63,English,0.068228,24/11/1993,93,Released,5.6,5
12155,Alice in Wonderland,"Family,Fantasy,Adventure",64,English,78.530105,03/03/2010,108,Released,6.4,4645
202575,Thunder and the House of Magic,"Family,Fantasy,Animation,Adventure",65,English,12.867326,24/12/2013,85,Released,6.3,121
14442,Ella Enchanted,"Family,Fantasy,Comedy",66,English,22.71592,09/04/2004,96,Released,5.9,437
14113,Zoom,"Family,Fantasy,Comedy",66,English,10.304172,11/08/2006,83,Released,4.9,135
36819,Time Bandits,"Family,Fantasy,Science Fiction,Adventure,Comedy",67,English,14.779537,13/07/1981,116,Released,6.6,249
6795,Zathura: A Space Adventure,"Family,Fantasy,Science Fiction,Adventure",68,English,15.194239,06/11/2005,101,Released,6.1,779
16523,Where the Wild Things Are,"Family,Fantasy",69,English,31.586215,16/10/2009,101,Released,6.4,572
252,"Willy Wonka & the,Chocolate Factory","Family,Fantasy",69,English,23.981601,29/06/1971,100,Released,7.4,798
5559,Bee Movie,"Family,Animation,Adventure,Comedy",70,English,29.332905,28/10/2007,91,Released,5.7,1171
270946,Penguins of Madagascar,"Family,Animation,Adventure,Comedy",70,English,84.366984,22/11/2014,92,Released,6.5,1346
211672,Minions,"Family,Animation,Adventure,Comedy",70,English,875.581305,17/06/2015,91,Released,6.4,4571
77174,ParaNorman,"Family,Animation,Adventure,Comedy",70,English,39.539045,03/08/2012,90,Released,6.7,789
